2026-04-25 09:16:11.884 | ERROR    | __main__:json_to_xmind:764 - 转换 XMind 文件时发生错误：'TopicElement' object has no attribute 'setLabel'
2026-04-25 09:17:40.287 | INFO     | __main__:_ensure_blank_template_exists:701 - ✓ 已自动创建空白模板：D:\AIGeneration\common\blank_template.xmind
2026-04-25 09:17:40.303 | ERROR    | __main__:json_to_xmind:764 - 转换 XMind 文件时发生错误：'TopicElement' object has no attribute 'setLabel'
2026-04-25 09:30:56.538 | ERROR    | __main__:json_to_xmind:764 - 转换 XMind 文件时发生错误：'TopicElement' object has no attribute 'setNote'
2026-04-25 09:33:14.451 | INFO     | __main__:json_to_xmind:758 - XMind 文件已成功生成：D:\AIGeneration\testcase\测试用例.xmind
2026-04-25 09:33:14.452 | INFO     | __main__:convert_and_export_to_xmind:918 - XMind 文件已成功生成: D:\AIGeneration\testcase\测试用例.xmind
2026-04-25 09:42:36.288 | INFO     | __main__:json_to_xmind:758 - XMind 文件已成功生成：D:\AIGeneration\testcase\测试用例.xmind
2026-04-25 09:42:36.289 | INFO     | __main__:convert_and_export_to_xmind:1004 - XMind 文件已成功生成: D:\AIGeneration\testcase\测试用例.xmind
2026-04-25 09:48:30.117 | INFO     | __main__:json_to_xmind:758 - XMind 文件已成功生成：D:\AIGeneration\testcase\测试用例.xmind
2026-04-25 09:48:30.118 | INFO     | __main__:convert_and_export_to_xmind:941 - XMind 文件已成功生成: D:\AIGeneration\testcase\测试用例.xmind
2026-04-25 09:54:06.706 | INFO     | __main__:json_to_xmind:758 - XMind 文件已成功生成：D:\AIGeneration\testcase\测试用例.xmind
2026-04-25 09:54:06.708 | INFO     | __main__:convert_and_export_to_xmind:996 - XMind 文件已成功生成: D:\AIGeneration\testcase\测试用例.xmind
